run,model,display_model,prompt,view,metric,value
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,scheduled,unanswerable_recognition_rate,0.98
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,scheduled,answerable_non_refusal_rate,0.7875
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,scheduled,false_refusal_rate,0.2125
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,scheduled,overall_template_decision_accuracy,0.826
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,valid_only,unanswerable_recognition_rate,0.98
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,valid_only,answerable_non_refusal_rate,0.7875
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,valid_only,false_refusal_rate,0.2125
4o-mini-base,gpt-4o-mini,GPT-4o-mini,Base,valid_only,overall_template_decision_accuracy,0.826
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,scheduled,unanswerable_recognition_rate,0.98
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,scheduled,answerable_non_refusal_rate,0.805
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,scheduled,false_refusal_rate,0.195
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,scheduled,overall_template_decision_accuracy,0.84
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,valid_only,unanswerable_recognition_rate,0.98
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,valid_only,answerable_non_refusal_rate,0.805
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,valid_only,false_refusal_rate,0.195
4o-mini-CoT,gpt-4o-mini,GPT-4o-mini,CoT,valid_only,overall_template_decision_accuracy,0.84
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,scheduled,unanswerable_recognition_rate,1.0
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,scheduled,answerable_non_refusal_rate,0.9
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,scheduled,false_refusal_rate,0.1
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,scheduled,overall_template_decision_accuracy,0.92
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,valid_only,unanswerable_recognition_rate,1.0
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,valid_only,answerable_non_refusal_rate,0.9
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,valid_only,false_refusal_rate,0.1
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,Base,valid_only,overall_template_decision_accuracy,0.92
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,scheduled,unanswerable_recognition_rate,1.0
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,scheduled,answerable_non_refusal_rate,0.9025
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,scheduled,false_refusal_rate,0.0975
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,scheduled,overall_template_decision_accuracy,0.922
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,valid_only,unanswerable_recognition_rate,1.0
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,valid_only,answerable_non_refusal_rate,0.9025
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,valid_only,false_refusal_rate,0.0975
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,CoT,valid_only,overall_template_decision_accuracy,0.922
glm5-base,glm-5,GLM-5,Base,scheduled,unanswerable_recognition_rate,0.98
glm5-base,glm-5,GLM-5,Base,scheduled,answerable_non_refusal_rate,0.9025
glm5-base,glm-5,GLM-5,Base,scheduled,false_refusal_rate,0.0975
glm5-base,glm-5,GLM-5,Base,scheduled,overall_template_decision_accuracy,0.918
glm5-base,glm-5,GLM-5,Base,valid_only,unanswerable_recognition_rate,0.98
glm5-base,glm-5,GLM-5,Base,valid_only,answerable_non_refusal_rate,0.9025
glm5-base,glm-5,GLM-5,Base,valid_only,false_refusal_rate,0.0975
glm5-base,glm-5,GLM-5,Base,valid_only,overall_template_decision_accuracy,0.918
glm5-CoT,glm-5,GLM-5,CoT,scheduled,unanswerable_recognition_rate,0.95
