qa_id,comparison,question,category,answer_type,is_answerable,recall@10_delta,hit@10_delta,mrr@10_delta,ndcg@10_delta,precision@10_delta,exact_match_delta,token_f1_delta,rouge_l_delta,total_latency_sec_delta
vlrag-000298165b,DenseGraph_minus_DenseOnly,"Doanh nghiệp của tôi là hợp tác xã thủ công nghiệp, tôi cần văn bản pháp lý nào để yêu cầu nhân viên kế toán thực hiện đúng chế độ sổ sách theo quy định của Nhà nước?",citation,abstractive,True,0.0,0.0,0.0,0.0,0.0,0.0,0.04247517188693656,0.06478227654698232,-0.4732220419996338
vlrag-000298165b,HybridGraph_minus_HybridOnly,"Doanh nghiệp của tôi là hợp tác xã thủ công nghiệp, tôi cần văn bản pháp lý nào để yêu cầu nhân viên kế toán thực hiện đúng chế độ sổ sách theo quy định của Nhà nước?",citation,abstractive,True,-1.0,-1.0,-0.1666666666666666,-0.3562071871080222,-0.1,0.0,-0.0774539254688642,-0.08005196070471707,-0.005322890001480118
vlrag-000298165b,HybridOnly_minus_DenseOnly,"Doanh nghiệp của tôi là hợp tác xã thủ công nghiệp, tôi cần văn bản pháp lý nào để yêu cầu nhân viên kế toán thực hiện đúng chế độ sổ sách theo quy định của Nhà nước?",citation,abstractive,True,1.0,1.0,0.1666666666666666,0.3562071871080222,0.1,0.0,0.06210780370072405,0.0640386162510056,24.497834442422747
vlrag-000298165b,HybridGraph_minus_DenseGraph,"Doanh nghiệp của tôi là hợp tác xã thủ công nghiệp, tôi cần văn bản pháp lý nào để yêu cầu nhân viên kế toán thực hiện đúng chế độ sổ sách theo quy định của Nhà nước?",citation,abstractive,True,0.0,0.0,0.0,0.0,0.0,0.0,-0.05782129365507671,-0.08079562100069379,24.9657335944209
vlrag-0026ce34be,DenseGraph_minus_DenseOnly,"Doanh nghiệp của tôi có nghe nói về quy định đính chính mức phí khai thác tài liệu khí tượng thủy văn trong Thông tư 23/2009/TT-BTC, không biết có văn bản nào chính thức xác nhận việc đính chính này không?",citation,abstractive,True,0.0,0.0,-0.0833333333333334,-0.07446937096537082,0.0,0.0,0.047794117647058904,0.02426470588235302,1.457204301999809
vlrag-0026ce34be,HybridGraph_minus_HybridOnly,"Doanh nghiệp của tôi có nghe nói về quy định đính chính mức phí khai thác tài liệu khí tượng thủy văn trong Thông tư 23/2009/TT-BTC, không biết có văn bản nào chính thức xác nhận việc đính chính này không?",citation,abstractive,True,-1.0,-1.0,-0.1111111111111111,-0.3010299956639812,-0.1,0.0,-0.003009575923392571,-0.003009575923392571,0.6180706359991746
vlrag-0026ce34be,HybridOnly_minus_DenseOnly,"Doanh nghiệp của tôi có nghe nói về quy định đính chính mức phí khai thác tài liệu khí tượng thủy văn trong Thông tư 23/2009/TT-BTC, không biết có văn bản nào chính thức xác nhận việc đính chính này không?",citation,abstractive,True,0.0,0.0,-0.1388888888888889,-0.1296465624094118,0.0,0.0,0.07132352941176479,0.07132352941176479,25.234581550421076
vlrag-0026ce34be,HybridGraph_minus_DenseGraph,"Doanh nghiệp của tôi có nghe nói về quy định đính chính mức phí khai thác tài liệu khí tượng thủy văn trong Thông tư 23/2009/TT-BTC, không biết có văn bản nào chính thức xác nhận việc đính chính này không?",citation,abstractive,True,-1.0,-1.0,-0.1666666666666666,-0.3562071871080222,-0.1,0.0,0.02051983584131331,0.04404924760601919,24.39544788442044
vlrag-026b112060,DenseGraph_minus_DenseOnly,Có cần chuẩn bị giấy tờ cụ thể gì nếu tôi muốn gửi con đi đào tạo sau đại học ở nước ngoài bằng ngân sách tỉnh Cà Mau hay không?,single_hop,unanswerable,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1009812339998453
vlrag-026b112060,HybridGraph_minus_HybridOnly,Có cần chuẩn bị giấy tờ cụ thể gì nếu tôi muốn gửi con đi đào tạo sau đại học ở nước ngoài bằng ngân sách tỉnh Cà Mau hay không?,single_hop,unanswerable,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.004114490161001801,0.007513416815742403,0.7144261959947471
