model,qa_id,category,difficulty,answer_type,base_context_recall,cot_context_recall,base_exact_match,cot_exact_match,delta_exact_match,base_token_f1,cot_token_f1,delta_token_f1,base_rouge_l,cot_rouge_l,delta_rouge_l
gpt-4o-mini,vlrag-000298165b,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.42990654205607476,0.3529411764705882,-0.07696536558548656,0.33644859813084105,0.3025210084033613,-0.03392758972747972
gpt-4o-mini,vlrag-0026ce34be,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.5517241379310345,0.08113590263691683,0.47058823529411764,0.5517241379310345,0.08113590263691683
gpt-4o-mini,vlrag-036bdd452b,single_hop,easy,extractive,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.19178082191780824,-0.1766402307137707,0.3157894736842105,0.19178082191780824,-0.12400865176640227
gpt-4o-mini,vlrag-0503eae2ee,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.509090909090909,-0.009427609427609451,0.3333333333333333,0.3272727272727272,-0.0060606060606061
gpt-4o-mini,vlrag-0563e20013,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.5098039215686275,0.17721518987341772,-0.3325887316952098,0.47058823529411764,0.17721518987341772,-0.2933730454206999
gpt-4o-mini,vlrag-0794a3f964,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.12903225806451613,0.0,0.06451612903225806,0.06451612903225806,0.0
gpt-4o-mini,vlrag-07cd394d8f,legal_validity,medium,boolean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o-mini,vlrag-07e3bd236d,single_hop,easy,extractive,1.0,1.0,0.0,0.0,0.0,0.0392156862745098,0.0392156862745098,0.0,0.0392156862745098,0.0392156862745098,0.0
gpt-4o-mini,vlrag-088709b3d4,citation,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.1272727272727273,0.1272727272727273,0.0,0.07272727272727272,0.07272727272727272,0.0
gpt-4o-mini,vlrag-098c0cf63e,single_hop,easy,abstractive,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.22950819672131145,-0.0038251366120218844,0.13333333333333333,0.1311475409836066,-0.0021857923497267395
gpt-4o-mini,vlrag-0a0dbf15e0,single_hop,easy,abstractive,1.0,1.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.05,0.0
