model,display_model,group_field,group,metric,n,base_mean,cot_mean,delta_mean,delta_ci_low,delta_ci_high,wins,ties,losses,win_rate,tie_rate,loss_rate,mcnemar_exact_p
gpt-4o-mini,GPT-4o-mini,category,citation,exact_match,106,0.16037735849056603,0.16037735849056603,0.0,0.0,0.0,0,106,0,0.0,1.0,0.0,1.0
gpt-4o-mini,GPT-4o-mini,category,citation,token_f1,106,0.2572131764541141,0.2417512553785822,-0.015461921075531968,-0.0291732189204798,-0.0033176052670135093,28,27,51,0.2641509433962264,0.25471698113207547,0.4811320754716981,
gpt-4o-mini,GPT-4o-mini,category,citation,rouge_l,106,0.23046013725926645,0.21133373170750783,-0.0191264055517586,-0.03156816058680226,-0.008000428081166095,24,27,55,0.22641509433962265,0.25471698113207547,0.5188679245283019,
gpt-4o-mini,GPT-4o-mini,category,cross_document,exact_match,11,0.0,0.0,0.0,0.0,0.0,0,11,0,0.0,1.0,0.0,1.0
gpt-4o-mini,GPT-4o-mini,category,cross_document,token_f1,11,0.2766578784261898,0.2762017391459778,-0.00045613928021198935,-0.011763784025457953,0.010462393663398496,3,6,2,0.2727272727272727,0.5454545454545454,0.18181818181818182,
gpt-4o-mini,GPT-4o-mini,category,cross_document,rouge_l,11,0.24933302140446403,0.23148643957644693,-0.017846581828017086,-0.04000777285160298,-0.0013505212557086165,1,6,4,0.09090909090909091,0.5454545454545454,0.36363636363636365,
gpt-4o-mini,GPT-4o-mini,category,legal_validity,exact_match,91,0.0989010989010989,0.0989010989010989,0.0,-0.04395604395604396,0.04395604395604396,2,87,2,0.02197802197802198,0.9560439560439561,0.02197802197802198,1.0
gpt-4o-mini,GPT-4o-mini,category,legal_validity,token_f1,91,0.14781496831356586,0.14383816041665978,-0.003976807896906072,-0.018902544415482305,0.012685012389049878,18,47,26,0.1978021978021978,0.5164835164835165,0.2857142857142857,
gpt-4o-mini,GPT-4o-mini,category,legal_validity,rouge_l,91,0.12783851056137377,0.12210798037398579,-0.0057305301873879725,-0.0191329401388162,0.007774432937557435,23,47,21,0.25274725274725274,0.5164835164835165,0.23076923076923078,
gpt-4o-mini,GPT-4o-mini,category,multi_hop,exact_match,20,0.2,0.2,0.0,0.0,0.0,0,20,0,0.0,1.0,0.0,1.0
gpt-4o-mini,GPT-4o-mini,category,multi_hop,token_f1,20,0.30727432337974114,0.28332415441348896,-0.02395016896625217,-0.042156717326171704,-0.008432743287948246,3,9,8,0.15,0.45,0.4,
gpt-4o-mini,GPT-4o-mini,category,multi_hop,rouge_l,20,0.24218516298737866,0.22873426240659422,-0.013450900580784431,-0.027001561135536527,-0.0022200914578824173,5,8,7,0.25,0.4,0.35,
gpt-4o-mini,GPT-4o-mini,category,single_hop,exact_match,172,0.1511627906976744,0.14534883720930233,-0.005813953488372093,-0.029069767441860465,0.011627906976744186,1,169,2,0.005813953488372093,0.9825581395348837,0.011627906976744186,1.0
gpt-4o-mini,GPT-4o-mini,category,single_hop,token_f1,172,0.28484082188241133,0.2626819275008007,-0.022158894381610665,-0.03212947543887216,-0.012950033842425893,27,75,70,0.1569767441860465,0.436046511627907,0.4069767441860465,
gpt-4o-mini,GPT-4o-mini,category,single_hop,rouge_l,172,0.2486539110719787,0.22652626374751714,-0.022127647324461576,-0.03273152149435273,-0.01274658854925089,27,75,70,0.1569767441860465,0.436046511627907,0.4069767441860465,
gpt-4o-mini,GPT-4o-mini,difficulty,easy,exact_match,285,0.15789473684210525,0.16140350877192983,0.0035087719298245615,-0.010526315789473684,0.017543859649122806,3,280,2,0.010526315789473684,0.9824561403508771,0.007017543859649123,1.0
gpt-4o-mini,GPT-4o-mini,difficulty,easy,token_f1,285,0.26095429290791566,0.24085248632656484,-0.02010180658135083,-0.02812630091254374,-0.012577024208663468,51,112,122,0.17894736842105263,0.3929824561403509,0.4280701754385965,
gpt-4o-mini,GPT-4o-mini,difficulty,easy,rouge_l,285,0.23191686946315493,0.2103213755595836,-0.02159549390357131,-0.029267667307227112,-0.01425034990993908,48,112,125,0.16842105263157894,0.3929824561403509,0.43859649122807015,
gpt-4o-mini,GPT-4o-mini,difficulty,hard,exact_match,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0,1.0
gpt-4o-mini,GPT-4o-mini,difficulty,hard,token_f1,1,0.11764705882352942,0.11764705882352942,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0,
gpt-4o-mini,GPT-4o-mini,difficulty,hard,rouge_l,1,0.11764705882352942,0.11764705882352942,0.0,0.0,0.0,0,1,0,0.0,1.0,0.0,
gpt-4o-mini,GPT-4o-mini,difficulty,medium,exact_match,114,0.09649122807017543,0.07894736842105263,-0.017543859649122806,-0.043859649122807015,0.0,0,112,2,0.0,0.9824561403508771,0.017543859649122806,0.5
gpt-4o-mini,GPT-4o-mini,difficulty,medium,token_f1,114,0.21410072611534003,0.20912538381723247,-0.004975342298107582,-0.016779032744358074,0.008089337167979034,28,51,35,0.24561403508771928,0.4473684210526316,0.30701754385964913,
gpt-4o-mini,GPT-4o-mini,difficulty,medium,rouge_l,114,0.17721897679229462,0.17138172043657388,-0.005837256355720726,-0.01612814070385567,0.004821522094462357,32,50,32,0.2807017543859649,0.43859649122807015,0.2807017543859649,
gpt-4o-mini,GPT-4o-mini,answer_type,abstractive,exact_match,199,0.0,0.0,0.0,0.0,0.0,0,199,0,0.0,1.0,0.0,1.0
gpt-4o-mini,GPT-4o-mini,answer_type,abstractive,token_f1,199,0.3296196456018706,0.3101964711782799,-0.019423174423590737,-0.030859841115481172,-0.007980471254027113,46,64,89,0.23115577889447236,0.32160804020100503,0.4472361809045226,
gpt-4o-mini,GPT-4o-mini,answer_type,abstractive,rouge_l,199,0.2751223211269806,0.25348323073800827,-0.0216390903889723,-0.03227977274234431,-0.01161719934948036,48,63,88,0.24120603015075376,0.3165829145728643,0.44221105527638194,
gpt-4o-mini,GPT-4o-mini,answer_type,boolean,exact_match,123,0.45528455284552843,0.44715447154471544,-0.008130081300813009,-0.04878048780487805,0.032520325203252036,3,116,4,0.024390243902439025,0.943089430894309,0.032520325203252036,1.0
gpt-4o-mini,GPT-4o-mini,answer_type,boolean,token_f1,123,0.08497370036936587,0.07783640742549386,-0.007137292943872012,-0.014584587241290485,3.0019623335449295e-05,20,68,35,0.16260162601626016,0.5528455284552846,0.2845528455284553,
gpt-4o-mini,GPT-4o-mini,answer_type,boolean,rouge_l,123,0.08497370036936587,0.07783640742549386,-0.007137292943872012,-0.014608498459743446,-0.00018193426706801164,20,68,35,0.16260162601626016,0.5528455284552846,0.2845528455284553,
gpt-4o-mini,GPT-4o-mini,answer_type,extractive,exact_match,78,0.0,0.0,0.0,0.0,0.0,0,78,0,0.0,1.0,0.0,1.0
gpt-4o-mini,GPT-4o-mini,answer_type,extractive,token_f1,78,0.29296190634005126,0.27305030178519946,-0.019911604554851754,-0.03391071787618009,-0.007754290637894848,13,32,33,0.16666666666666666,0.41025641025641024,0.4230769230769231,
gpt-4o-mini,GPT-4o-mini,answer_type,extractive,rouge_l,78,0.2719975789800402,0.25102197683172944,-0.020975602148310776,-0.03579210441342181,-0.008401551886040973,12,32,34,0.15384615384615385,0.41025641025641024,0.4358974358974359,
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,citation,exact_match,104,0.11538461538461539,0.11538461538461539,0.0,-0.038461538461538464,0.038461538461538464,2,100,2,0.019230769230769232,0.9615384615384616,0.019230769230769232,1.0
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,citation,token_f1,104,0.17158198750677423,0.15743818390199932,-0.014143803604774942,-0.027442937583110748,-0.0019271134159314256,35,9,60,0.33653846153846156,0.08653846153846154,0.5769230769230769,
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,citation,rouge_l,104,0.14870709554330144,0.13532832636592465,-0.013378769177376813,-0.02601353918178925,-0.0017530652566430758,37,9,58,0.3557692307692308,0.08653846153846154,0.5576923076923077,
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,cross_document,exact_match,11,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0,11,0,0.0,1.0,0.0,1.0
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,cross_document,token_f1,11,0.29399281733944393,0.2550441125177539,-0.03894870482169006,-0.0971288213465868,0.006699709680623771,3,1,7,0.2727272727272727,0.09090909090909091,0.6363636363636364,
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,cross_document,rouge_l,11,0.25979799767573253,0.20037763661236063,-0.059420361063371896,-0.1098718904781886,-0.022058527215089056,1,1,9,0.09090909090909091,0.09090909090909091,0.8181818181818182,
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,legal_validity,exact_match,89,0.3258426966292135,0.33707865168539325,0.011235955056179775,-0.056179775280898875,0.07865168539325842,5,80,4,0.056179775280898875,0.898876404494382,0.0449438202247191,1.0
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,legal_validity,token_f1,89,0.1024600154693071,0.1001501829574639,-0.002309832511843189,-0.009839551109083999,0.005714728898943627,26,15,48,0.29213483146067415,0.16853932584269662,0.5393258426966292,
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,legal_validity,rouge_l,89,0.08839116642575723,0.08518996020637018,-0.0032012062193870366,-0.009381395940503677,0.0034784933528379026,22,15,52,0.24719101123595505,0.16853932584269662,0.5842696629213483,
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,multi_hop,exact_match,20,0.2,0.25,0.05,0.0,0.15,1,19,0,0.05,0.95,0.0,1.0
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,multi_hop,token_f1,20,0.20910236740989988,0.1890394509901989,-0.02006291641970097,-0.037542707455275284,-0.0059670339049279885,5,3,12,0.25,0.15,0.6,
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,multi_hop,rouge_l,20,0.17550144970168444,0.15676770974492732,-0.018733739956757117,-0.03263450415578887,-0.006771422965287228,4,3,13,0.2,0.15,0.65,
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,single_hop,exact_match,169,0.24260355029585798,0.23668639053254437,-0.005917159763313609,-0.029585798816568046,0.011834319526627219,1,166,2,0.005917159763313609,0.9822485207100592,0.011834319526627219,1.0
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,single_hop,token_f1,169,0.21163822848764077,0.19501423248891894,-0.016623995998721844,-0.027435401519071267,-0.006278496799538718,51,18,100,0.30177514792899407,0.10650887573964497,0.591715976331361,
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,category,single_hop,rouge_l,169,0.18055486966816398,0.1692595536204982,-0.011295316047665786,-0.022121265885123403,-0.0016194804670373933,53,17,99,0.3136094674556213,0.10059171597633136,0.5857988165680473,
